Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval
Symptoms of Depressive Disorder,By State,Michigan,Michigan,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,25.5,22,29.4,22.0 - 29.4
Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,20.4,17.7,23.4,17.7 - 23.4
Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,22.9,18.7,27.6,18.7 - 27.6
Symptoms of Depressive Disorder,By State,Missouri,Missouri,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,21,17.9,24.5,17.9 - 24.5
Symptoms of Depressive Disorder,By State,Montana,Montana,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,18.2,14.9,21.8,14.9 - 21.8
Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,19.1,15.3,23.3,15.3 - 23.3
Symptoms of Depressive Disorder,By State,Nevada,Nevada,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,23.6,19.1,28.7,19.1 - 28.7
Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,19.5,16.5,22.7,16.5 - 22.7
Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,23.6,20.4,27,20.4 - 27.0
Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,22.4,18.3,26.9,18.3 - 26.9
Symptoms of Depressive Disorder,By State,New York,New York,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,28.7,24.6,33.1,24.6 - 33.1
Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,21.1,17.1,25.6,17.1 - 25.6
Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,17,13.7,20.7,13.7 - 20.7
Symptoms of Depressive Disorder,By State,Ohio,Ohio,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,21.2,18.2,24.5,18.2 - 24.5
Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,20.8,16.4,25.7,16.4 - 25.7
Symptoms of Depressive Disorder,By State,Oregon,Oregon,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,22.5,19.7,25.4,19.7 - 25.4
Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,24.7,21.6,28.1,21.6 - 28.1
Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,24.5,19.9,29.7,19.9 - 29.7
Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,21.6,17.9,25.7,17.9 - 25.7
Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,17.5,13,22.7,13.0 - 22.7
Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,22.2,17.2,27.8,17.2 - 27.8
Symptoms of Depressive Disorder,By State,Texas,Texas,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,24.4,21.1,27.9,21.1 - 27.9
Symptoms of Depressive Disorder,By State,Utah,Utah,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,22.9,20,26,20.0 - 26.0
Symptoms of Depressive Disorder,By State,Vermont,Vermont,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,20.7,15.9,26.3,15.9 - 26.3
Symptoms of Depressive Disorder,By State,Virginia,Virginia,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,21.5,18,25.3,18.0 - 25.3
Symptoms of Depressive Disorder,By State,Washington,Washington,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,22.1,19.7,24.7,19.7 - 24.7
Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,23.4,19.5,27.6,19.5 - 27.6
Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,22,19.2,25,19.2 - 25.0
Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,1,1,"Apr 23 - May 5, 2020",4/23/2020,5/5/2020,18.9,15.3,22.9,15.3 - 22.9
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,24.1,23,25.2,23.0 - 25.2
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,36.2,32.2,40.2,32.2 - 40.2
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,27.7,25.7,29.8,25.7 - 29.8
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,25.5,23.1,28,23.1 - 28.0
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,24.1,22,26.2,22.0 - 26.2
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,17.6,15.7,19.6,15.7 - 19.6
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,12.2,10.4,14.2,10.4 - 14.2
Symptoms of Depressive Disorder,By Age,United States,80 years and above,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,9.1,6.9,11.6,6.9 - 11.6
Symptoms of Depressive Disorder,By Sex,United States,Male,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,22.3,20.6,24,20.6 - 24.0
Symptoms of Depressive Disorder,By Sex,United States,Female,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,25.8,24.7,27,24.7 - 27.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,27.9,24.4,31.6,24.4 - 31.6
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,22.5,21.6,23.4,21.6 - 23.4
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,27.7,23.8,31.9,23.8 - 31.9
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,19.5,15.4,24.3,15.4 - 24.3
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,33,28.6,37.7,28.6 - 37.7
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,31.4,25.9,37.3,25.9 - 37.3
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,27.1,24.9,29.4,24.9 - 29.4
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,26.5,25,28.1,25.0 - 28.1
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,17.2,16,18.3,16.0 - 18.3
Symptoms of Depressive Disorder,By State,Alabama,Alabama,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,22.5,16.4,29.5,16.4 - 29.5
Symptoms of Depressive Disorder,By State,Alaska,Alaska,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,25.1,20.3,30.4,20.3 - 30.4
Symptoms of Depressive Disorder,By State,Arizona,Arizona,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,25.3,19.7,31.7,19.7 - 31.7
Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,24.5,19.2,30.5,19.2 - 30.5
Symptoms of Depressive Disorder,By State,California,California,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,22.8,19.2,26.8,19.2 - 26.8
Symptoms of Depressive Disorder,By State,Colorado,Colorado,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,23.6,17.8,30.2,17.8 - 30.2
Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,21.5,16.2,27.6,16.2 - 27.6
Symptoms of Depressive Disorder,By State,Delaware,Delaware,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,23.3,18.3,28.9,18.3 - 28.9
Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,30.3,22.8,38.6,22.8 - 38.6
Symptoms of Depressive Disorder,By State,Florida,Florida,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,24.8,20,30,20.0 - 30.0
Symptoms of Depressive Disorder,By State,Georgia,Georgia,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,25.6,20.7,30.9,20.7 - 30.9
Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,16.8,12.1,22.4,12.1 - 22.4
Symptoms of Depressive Disorder,By State,Idaho,Idaho,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,17,13.2,21.5,13.2 - 21.5
Symptoms of Depressive Disorder,By State,Illinois,Illinois,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,29.2,25.2,33.5,25.2 - 33.5
Symptoms of Depressive Disorder,By State,Indiana,Indiana,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,19.9,14.8,25.8,14.8 - 25.8
Symptoms of Depressive Disorder,By State,Iowa,Iowa,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,18.1,12.9,24.2,12.9 - 24.2
Symptoms of Depressive Disorder,By State,Kansas,Kansas,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,16.7,12.8,21.2,12.8 - 21.2
Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,25.6,19.8,32.2,19.8 - 32.2
Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,30,23.2,37.5,23.2 - 37.5
Symptoms of Depressive Disorder,By State,Maine,Maine,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,17.1,12.2,23,12.2 - 23.0
Symptoms of Depressive Disorder,By State,Maryland,Maryland,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,24.6,18.3,31.8,18.3 - 31.8
Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,18.9,15.2,23,15.2 - 23.0
Symptoms of Depressive Disorder,By State,Michigan,Michigan,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,23.4,18.8,28.4,18.8 - 28.4
Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,18.4,13.8,23.9,13.8 - 23.9
Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,35.5,27.5,44.1,27.5 - 44.1
Symptoms of Depressive Disorder,By State,Missouri,Missouri,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,24.1,18.5,30.5,18.5 - 30.5
Symptoms of Depressive Disorder,By State,Montana,Montana,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,20.8,14.7,28.2,14.7 - 28.2
Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,21.6,15.4,28.9,15.4 - 28.9
Symptoms of Depressive Disorder,By State,Nevada,Nevada,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,31.2,25.4,37.5,25.4 - 37.5
Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,23.3,18.2,28.9,18.2 - 28.9
Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,26.4,20.3,33.2,20.3 - 33.2
Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,29,20.8,38.3,20.8 - 38.3
Symptoms of Depressive Disorder,By State,New York,New York,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,29.2,24.2,34.6,24.2 - 34.6
Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,20.2,15.6,25.5,15.6 - 25.5
Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,20.2,13.9,27.9,13.9 - 27.9
Symptoms of Depressive Disorder,By State,Ohio,Ohio,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,26.4,21.3,32.1,21.3 - 32.1
Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,20.7,15.4,26.9,15.4 - 26.9
Symptoms of Depressive Disorder,By State,Oregon,Oregon,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,17.8,13.7,22.6,13.7 - 22.6
Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,23,18.8,27.8,18.8 - 27.8
Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,22.8,15.3,31.9,15.3 - 31.9
Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,25.6,20.6,31.1,20.6 - 31.1
Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,20.5,13.5,29.2,13.5 - 29.2
Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,21.7,15.2,29.5,15.2 - 29.5
Symptoms of Depressive Disorder,By State,Texas,Texas,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,25.7,21.8,30,21.8 - 30.0
Symptoms of Depressive Disorder,By State,Utah,Utah,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,22.6,17.9,27.8,17.9 - 27.8
Symptoms of Depressive Disorder,By State,Vermont,Vermont,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,26.8,20.4,34.1,20.4 - 34.1
Symptoms of Depressive Disorder,By State,Virginia,Virginia,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,20.6,16.4,25.4,16.4 - 25.4
Symptoms of Depressive Disorder,By State,Washington,Washington,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,22.9,19.4,26.6,19.4 - 26.6
Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,31.8,24.7,39.7,24.7 - 39.7
Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,22.9,17.2,29.5,17.2 - 29.5
Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,1,2,"May 7 - May 12, 2020",5/7/2020,5/12/2020,18.6,11,28.5,11.0 - 28.5
Symptoms of Depressive Disorder,National Estimate,United States,United States,1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,24.4,23.7,25.2,23.7 - 25.2
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,36.7,34.2,39.1,34.2 - 39.1
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,26.7,25,28.5,25.0 - 28.5
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,25,23.3,26.7,23.3 - 26.7
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,24.6,22.9,26.4,22.9 - 26.4
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,18,16.3,19.6,16.3 - 19.6
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,12.3,10.4,14.5,10.4 - 14.5
Symptoms of Depressive Disorder,By Age,United States,80 years and above,1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,14.4,10.9,18.6,10.9 - 18.6
Symptoms of Depressive Disorder,By Sex,United States,Male,1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,22.1,21,23.3,21.0 - 23.3
Symptoms of Depressive Disorder,By Sex,United States,Female,1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,26.7,25.8,27.6,25.8 - 27.6
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,28.9,26.5,31.4,26.5 - 31.4
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,22.7,22,23.5,22.0 - 23.5
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,28.5,26.5,30.6,26.5 - 30.6
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,20.9,17.8,24.2,17.8 - 24.2
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,27.1,23.9,30.6,23.9 - 30.6
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,31.3,27.2,35.8,27.2 - 35.8
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,27.8,26.1,29.5,26.1 - 29.5
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,26.8,25.3,28.4,25.3 - 28.4
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,17.3,16.3,18.3,16.3 - 18.3
Symptoms of Depressive Disorder,By State,Alabama,Alabama,1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,19.6,15.6,24.2,15.6 - 24.2
Symptoms of Depressive Disorder,By State,Alaska,Alaska,1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,23.6,19.5,28.2,19.5 - 28.2
Symptoms of Depressive Disorder,By State,Arizona,Arizona,1,3,"May 14 - May 19, 2020",5/14/2020,5/19/2020,20,16.3,24.2,16.3 - 24.2
